"subject" "problem" "trial" "choice" "condition" "type" "pHa" "La" "Hb" "pHb" "Lb" "LotNum" "LotShape" "Corr" "Amb"
"1" 1 31 1 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"2" 1 31 2 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"3" 1 31 3 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"4" 1 31 4 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"5" 1 31 5 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"6" 1 31 6 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"7" 1 31 7 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"8" 1 31 8 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"9" 1 31 9 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"10" 1 31 10 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"11" 1 31 11 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"12" 1 31 12 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"13" 1 31 13 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"14" 1 31 14 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"15" 1 31 15 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"16" 1 31 16 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"17" 1 31 17 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"18" 1 31 18 1 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"19" 1 31 19 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"20" 1 31 20 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"21" 1 31 21 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"22" 1 31 22 1 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"23" 1 31 23 1 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"24" 1 31 24 1 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"25" 1 31 25 0 "ByProb" "ambiguous" 1 4 40 0.6 -44 1 "-" 0 1
"3306" 1 34 1 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"3307" 1 34 2 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"3308" 1 34 3 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"3309" 1 34 4 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"3310" 1 34 5 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"3311" 1 34 6 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"3312" 1 34 7 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"3313" 1 34 8 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2105" 1 34 9 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2093" 1 34 10 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2067" 1 34 11 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2026" 1 34 12 0 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2039" 1 34 13 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2044" 1 34 14 0 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2046" 1 34 15 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2265" 1 34 16 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2266" 1 34 17 0 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2267" 1 34 18 0 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2268" 1 34 19 0 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2229" 1 34 20 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2230" 1 34 21 0 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2094" 1 34 22 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2042" 1 34 23 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"2043" 1 34 24 0 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"3330" 1 34 25 1 "ByProb" "multiOut" 1 7 27 0.1 4 3 "Symm" 0 0
"5518" 1 36 1 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"5763" 1 36 2 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"5521" 1 36 3 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"5522" 1 36 4 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"5523" 1 36 5 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"5524" 1 36 6 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"5525" 1 36 7 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"5526" 1 36 8 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"5527" 1 36 9 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4143" 1 36 10 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4103" 1 36 11 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4160" 1 36 12 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4146" 1 36 13 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4079" 1 36 14 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4112" 1 36 15 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4055" 1 36 16 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4062" 1 36 17 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4156" 1 36 18 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4197" 1 36 19 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4442" 1 36 20 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4443" 1 36 21 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4201" 1 36 22 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4242" 1 36 23 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4173" 1 36 24 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"4093" 1 36 25 1 "ByProb" "multiOut" 1 28 88 0.6 -46 3 "R-skew" 0 0
"6636" 1 39 1 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6637" 1 39 2 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6638" 1 39 3 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6639" 1 39 4 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6640" 1 39 5 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6641" 1 39 6 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6642" 1 39 7 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6643" 1 39 8 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6644" 1 39 9 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6125" 1 39 10 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6113" 1 39 11 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6128" 1 39 12 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6129" 1 39 13 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6117" 1 39 14 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6095" 1 39 15 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6087" 1 39 16 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6652" 1 39 17 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6774" 1 39 18 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6775" 1 39 19 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6776" 1 39 20 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6777" 1 39 21 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6657" 1 39 22 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6779" 1 39 23 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6780" 1 39 24 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"6660" 1 39 25 1 "ByProb" "multiOut" 1 29 33 0.8 6 5 "Symm" 0 0
"9577" 1 40 1 1 "ByProb" "multiOut" 0.8 -37 79 0.4 -46 7 "L-skew" 0 0
"9214" 1 40 2 1 "ByProb" "multiOut" 0.8 -37 79 0.4 -46 7 "L-skew" 0 0
"9215" 1 40 3 1 "ByProb" "multiOut" 0.8 -37 79 0.4 -46 7 "L-skew" 0 0
"8973" 1 40 4 1 "ByProb" "multiOut" 0.8 -37 79 0.4 -46 7 "L-skew" 0 0
"9217" 1 40 5 1 "ByProb" "multiOut" 0.8 -37 79 0.4 -46 7 "L-skew" 0 0
"9218" 1 40 6 1 "ByProb" "multiOut" 0.8 -37 79 0.4 -46 7 "L-skew" 0 0
"9583" 1 40 7 1 "ByProb" "multiOut" 0.8 -37 79 0.4 -46 7 "L-skew" 0 0
"9584" 1 40 8 1 "ByProb" "multiOut" 0.8 -37 79 0.4 -46 7 "L-skew" 0 0
"9707" 1 40 9 1 "ByProb" "multiOut" 0.8 -37 79 0.4 -46 7 "L-skew" 0 0
"9587" 1 40 10 1 "ByProb" "multiOut" 0.8 -37 79 0.4 -46 7 "L-skew" 0 0
"8108" 1 40 11 1 "ByProb" "multiOut" 0.8 -37 79 0.4 -46 7 "L-skew" 0 0
